Year,Sex,State,Number_of_teachers
2008,Female,Perlis,1174
2008,Female,Pulau Pinang,6020
2008,Female,Sabah ,7333
2008,Female,Sarawak,8747
2008,Female,Selangor,17987
2008,Female,Terengganu,6170
2008,Female,W.P. Kuala Lumpur,6203
2008,Female,W.P. Labuan,351
2008,Female,W.P. Putrajaya,444
2008,Male,Malaysia,52754
2008,Male,Johor,5877
2008,Male,Kedah,4562
2008,Male,Kelantan,4988
2008,Male,Melaka,1844
2008,Male,Negeri Sembilan,2160
2008,Male,Pahang,3632
2008,Male,Perak,5903
2008,Male,Perlis,827
2008,Male,Pulau Pinang,2392
2008,Male,Sabah ,5657
2008,Male,Sarawak,5362
2008,Male,Selangor,4414
2008,Male,Terengganu,3309
2008,Male,W.P. Kuala Lumpur,1504
2008,Male,W.P. Labuan,227
2008,Male,W.P. Putrajaya,96
2009,Female,Malaysia,116000
2009,Female,Johor,13650
2009,Female,Kedah,8395
2009,Female,Kelantan,7558
2009,Female,Melaka,3750
2009,Female,Negeri Sembilan,5192
2009,Female,Pahang,7026
2009,Female,Perak,11048
2009,Female,Perlis,1300
2009,Female,Pulau Pinang,6452
2009,Female,Sabah ,7936
2009,Female,Sarawak,9293
2009,Female,Selangor,20336
2009,Female,Terengganu,6543
2009,Female,W.P. Kuala Lumpur,6666
2009,Female,W.P. Labuan,377
2009,Female,W.P. Putrajaya,478
2009,Male,Malaysia,54677
2009,Male,Johor,6025
2009,Male,Kedah,4751
2009,Male,Kelantan,5161
2009,Male,Melaka,1899
2009,Male,Negeri Sembilan,2216
2009,Male,Pahang,3701
2009,Male,Perak,6028
2009,Male,Perlis,836
2009,Male,Pulau Pinang,2447
2009,Male,Sabah ,5886
2009,Male,Sarawak,5647
2009,Male,Selangor,4816
2009,Male,Terengganu,3383
2009,Male,W.P. Kuala Lumpur,1574
2009,Male,W.P. Labuan,213
2009,Male,W.P. Putrajaya,94
2010,Female,Malaysia,119691
2010,Female,Johor,14007
2010,Female,Kedah,8759
2010,Female,Kelantan,7409
2010,Female,Melaka,3918
2010,Female,Negeri Sembilan,5439
2010,Female,Pahang,7099
2010,Female,Perak,11391
2010,Female,Perlis,1342
2010,Female,Pulau Pinang,6747
2010,Female,Sabah ,8633
2010,Female,Sarawak,9505
2010,Female,Selangor,21277
2010,Female,Terengganu,6533
2010,Female,W.P. Kuala Lumpur,6780
2010,Female,W.P. Labuan,377
2010,Female,W.P. Putrajaya,475
2010,Male,Malaysia,55550
2010,Male,Johor,6176
2010,Male,Kedah,4788
2010,Male,Kelantan,5154
2010,Male,Melaka,1939
2010,Male,Negeri Sembilan,2249
2010,Male,Pahang,3709
2010,Male,Perak,6166
2010,Male,Perlis,833
2010,Male,Pulau Pinang,2480
2010,Male,Sabah ,6129
2010,Male,Sarawak,5738
2010,Male,Selangor,4944
2010,Male,Terengganu,3362
2010,Male,W.P. Kuala Lumpur,1579
2010,Male,W.P. Labuan,210
2010,Male,W.P. Putrajaya,94
2011,Female,Malaysia,121933
2011,Female,Johor,14342
2011,Female,Kedah,8952
2011,Female,Kelantan,7509
2011,Female,Melaka,4032
2011,Female,Negeri Sembilan,5479
2011,Female,Pahang,7187
2011,Female,Perak,11577
2011,Female,Perlis,1382
2011,Female,Pulau Pinang,6835
2011,Female,Sabah ,8841
2011,Female,Sarawak,9587
2011,Female,Selangor,21961
2011,Female,Terengganu,6593
2011,Female,W.P. Kuala Lumpur,6758
2011,Female,W.P. Labuan,379
2011,Female,W.P. Putrajaya,519
2011,Male,Malaysia,55455
2011,Male,Johor,6223
2011,Male,Kedah,4723
2011,Male,Kelantan,5067
2011,Male,Melaka,1901
2011,Male,Negeri Sembilan,2239
2011,Male,Pahang,3729
2011,Male,Perak,6122
2011,Male,Perlis,825
2011,Male,Pulau Pinang,2468
2011,Male,Sabah ,6164
2011,Male,Sarawak,5769
2011,Male,Selangor,5001
2011,Male,Terengganu,3321
2011,Male,W.P. Kuala Lumpur,1588
2011,Male,W.P. Labuan,213
2011,Male,W.P. Putrajaya,102
2012,Female,Malaysia,122089
2012,Female,Johor,14411
2012,Female,Kedah,8967
2012,Female,Kelantan,7824
2012,Female,Melaka,4086
2012,Female,Negeri Sembilan,5596
2012,Female,Pahang,7219
2012,Female,Perak,11753
2012,Female,Perlis,1362
2012,Female,Pulau Pinang,6718
2012,Female,Sabah ,8955
2012,Female,Sarawak,9449
2012,Female,Selangor,21436
2012,Female,Terengganu,6598
2012,Female,W.P. Kuala Lumpur,6763
2012,Female,W.P. Labuan,380
2012,Female,W.P. Putrajaya,572
2012,Male,Malaysia,55373
2012,Male,Johor,6182
2012,Male,Kedah,4702
2012,Male,Kelantan,5138
2012,Male,Melaka,1865
2012,Male,Negeri Sembilan,2208
2012,Male,Pahang,3691
2012,Male,Perak,6044
2012,Male,Perlis,816
